stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
55,0.5,7.0,62.12713429995347,,62.111441000015475,62.12713429995347,62.61021289997734,62.61021289997734,62.6272988000419,62.91017039993312,63.1948001999408,left,-7.0,1,1,0.5801418001065031,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
56,0.5,6.5,63.21046880003996,,63.19487979996484,63.21046880003996,63.71039010002278,63.71039010002278,63.71039010002278,64.01036239997484,64.06122120004147,right,6.5,1,1,0.34190980007406324,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
57,0.5,6.5,64.07706139993388,,64.0612977000419,64.07706139993388,64.57749799999874,64.57749799999874,64.57749799999874,64.87728979997337,65.0441513999831,right,6.5,1,1,0.4552339999936521,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
58,0.5,6.5,65.06006309995428,,65.04423050000332,65.06006309995428,65.54403019999154,65.54403019999154,65.55980339995585,65.84328239993192,65.92757009994239,left,-6.5,1,1,0.3816877999342978,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
59,0.5,6.0,65.94319509994239,,65.92765229998622,65.94319509994239,66.4432515000226,66.4432515000226,66.4432515000226,66.74311569996644,67.04416409996338,right,6.0,1,1,0.5839146000798792,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
60,0.5,6.0,67.06041709997226,,67.04425559996162,67.06041709997226,67.55949839996174,67.55949839996174,67.57693109998945,67.8601856000023,67.97699680004735,left,-6.0,1,1,0.41556220001075417,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
61,0.5,6.0,67.99297889997251,,67.97707389993593,67.99297889997251,68.4763396999333,68.4763396999333,68.49379480001517,68.77647020004224,68.86097379995044,left,-6.0,1,1,0.3830131000140682,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
62,0.5,5.5,68.87630330002867,,68.86105369997676,68.87630330002867,69.3766472999705,69.3766472999705,69.3766472999705,69.67596339993179,69.89391710003838,right,5.5,1,1,0.5104140000184998,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
63,0.5,5.5,69.90941820002627,,69.89398649998475,69.90941820002627,70.40943999995943,70.40943999995943,70.40943999995943,70.70973040000536,70.75996039994061,left,-5.5,1,1,0.3393409000709653,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
64,0.5,5.5,70.77570789994206,,70.76003759994637,70.77570789994206,71.26283599995077,71.26283599995077,71.27644289995078,71.575619500014,71.79306549998,left,-5.5,1,1,0.5199307000730187,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
